,fish_name,fish_scientific,fish_status,fish_appearence,fish_habitat,fish_behavior,fish_additional,fish_img
70,Nurse Shark,Ginglymostoma cirratum,Native, ,"An abundant, coastal, tropical and subtropical shark that inhabits nearshore waters of both the Gulf and Atlantic coasts of Florida. Often seen lying motionless on the bottom. Preferred habitats are coral reefs, rocks, and mangrove islands.", ,"Valued in the Caribbean for its high-quality hide, but is considered a nuisance species in most North American longline fisheries with fins and meat of little value. Does well in captivity and has been used in many physiological and immunological studies. This sluggish bottom-dwelling shark has been involved in only a few bites on humans, most of which were provoked.",https://myfwc.com/media/13852/nurseshark.jpg
71,Palometa,Trachinotus goodei,Native,Also known as great pompano.,"Clear water along sandy beaches and bays, and occasionally found over reefs. Most common in south Florida.","Spawn offshore in spring, summer and fall.",State Record: This species is not currently eligible for a state record.,https://myfwc.com/media/13853/palometa.jpg
72,Permit,Trachinotus falcatus,Native,"Similar Species: Florida pompano, T. carolinus (dorsal fin begins in front of anal fin)","Offshore near structure; inshore over grass flats, sand and in channels.",Spawning occurs primarily in early summer and again in fall.,"State Record: 56 lb 2 oz, caught near Ft. Lauderdale",https://myfwc.com/media/13854/permit.jpg
73,Pigfish,Orthopristis chrysoptera,Native,Also known as a grunt.,Coastal waters,Feed on small fishes and invertebrates.,Popular as bait.,https://myfwc.com/media/13855/pigfish.jpg
74,Pinfish,Lagodon rhomboides,Native,"Similar Species: Spottail pinfish, D. holbrookii (has dark spot on caudal peduncle); pigfish, O. chrysoptera (no incisor-like teeth; mouth ends below front nostril)",Coastal waters near structure; may enter freshwater.,Feed on small fishes and invertebrates; popular live bait.,State Record: This species is not currently eligible for a state record.,https://myfwc.com/media/13856/pinfish.jpg
75,Queen Snapper,Etelis oculatus,Native,Similar Species: Other snappers,Common offshore over rocky reefs of the continental shelf to 450 feet deep. Young queen snapper suspend at mid-depths.,"There is little is known about the queen snapper, but it is reported that adults live at depths greater than 400 feet. Mainly consume small fishes and squid",State Record: This species is not currently eligible for a state record.,https://myfwc.com/media/13857/queensnapper.jpg
76,Red Drum (Redfish),Sciaenops ocellatus,Native,Also known as redfish.,"Coastal waters. In winter, redfish are found in seagrass, over muddy or sand bottoms, or near oyster bars or spring fed creeks.",Juvenile redfish are an inshore species until they reach roughly 30 inches (4 years). They then migrate to the nearshore population.,"State Record: 52 lb 5 oz, caught near Cocoa (1996)",https://myfwc.com/media/13859/reddrum.jpg
77,Red Grouper,Epinephelus morio,Native,"Similar Species: Nassau grouper, E. striatus (large black spot on caudal peduncle)",Bottom-dwelling fish found over hard and muddy bottoms. Juveniles found offshore along with adults greater than 6 years old. Fish from 1 to 6 years occupy nearshore reefs.,"Spawn in April and May. Prefer water temperatures between 66 and 77 degrees F. Like many other grouper, red grouper undergo a sex reversal, young individual females becoming males as they age.","State Record: 42 lb 4 oz, caught near St. Augustine Inlet",https://myfwc.com/media/13860/redgrouper.jpg
78,Red Porgy,Pagrus pagrus,Native,Similar Species: Other porgy species (have slit-like rear nostrils),Coastal waters over rocky or sandy bottoms.,Feed on fishes and invertebrates.,State Record: This species is not currently eligible for a state record.,https://myfwc.com/media/13861/redporgy.jpg
79,Red Snapper,Lutjanus campechanus,Native,"Similar Species: Silk snapper, L. vivanus (has a yellow eye); and vermilion snapper, R. aurorubens (has rounded anal fin) Size: Up to 36 inches (35 pounds)",Offshore near structure. Juveniles are found over sand or mud bottoms.,"Spawn from June to October. Sexual maturity is attained at age 2. Adults can live more than 20 years, possibly even up to 60 years.","State Record: 46 lb 8 oz, caught near Destin",https://myfwc.com/media/13862/redsnapper.jpg
80,Rock Sea Bass,Centropristis philadelphica,Native,"Similar Species: Bank sea bass, C. ocyurus (lack spot near middle of dorsal fin base and nape lacks scales)",Coastal waters over hard bottom areas; also found near sand or mud bottoms,Spawn January through March. Young adults are predominantly female and transform into males as they grow older.  The maximum size for rock sea bass is about 10 inches.,State Record: This species is not currently eligible for a state record.,https://myfwc.com/media/13863/rockseabass.jpg
81,Round Scad,Decapterus punctatus,Native,Also known as cigar minnow and hardtail.,"Found mid-water or near the bottom, juveniles sometimes at surface.",Feed on plankton. Spawn offshore throughout the year.,Recreational Regulations,https://myfwc.com/media/13864/roundscad.jpg
82,Sailfish,Istiophorus platypterus,Native,"Similar Species: White marlin, K. albida; and juvenile blue marlin, M. nigricans (both lack the large sail-like dorsal fin of sailfish)",Offshore waters,"Sailfish are a rapidly growing species; they reach 4-5 feet in one year. They feed aggressively on small fish and squid. Off southeast Florida, sailfish move inshore to shallow water and spawn near the surface in summer. Females swim slowly with their dorsal fins above water, accompanied by one or more males when spawning.","State Record: 126 lb, caught near Big Pine Key",https://myfwc.com/media/13865/sailfish.jpg
83,Saltmarsh Topminnow,Fundulus jenkinsi,Native,The saltmarsh topminnow is a smaller species of the Genus Fundulus (Gilbert 1992).  This species can reach a body length of 1.75 inches (4.4 centimeters).  Saltmarsh topminnows are light brown with two rows of black spots on the midside of the body (Florida Natural Areas Inventory 2001).,"The saltmarsh topminnow inhabits low-salinity salt marshes and estuaries dominated by Spartinacordgrasses from Galveston Bay, Texas, east to the extreme western portion of the Florida panhandle (Peterson et al. 2003).",The diet of the saltmarsh topminnow primarily consists of insects and a type of crustacean called amphipods (Lopez et al. 2010)., ,https://myfwc.com/media/14454/saltmarshtopminnow.jpg
84,Sand Seatrout,Cynoscion arenarius,Native,Also known as white trout.,Coastal waters over sand bottoms in the Gulf of Mexico (rare in Atlantic waters),Mature during their first or second year. They have a prolonged inshore spawning season that extends through the spring and summer. Feeds mainly on small fish and shrimp.,State Record: This species is not currently eligible for a state record.,https://myfwc.com/media/13869/sandseatrout.jpg
85,Sandbar Shark,Carcharhinus plumbeus,Native, ,"True to its name, it prefers coastal and offshore sandy areas of the Florida Gulf and Atlantic coasts. Exclusively a marine species, but known to venture near mouths of rivers and estuarine systems. Essentially a bottom-dwelling species found at depths up to 200 feet, but seasonally migrates into deeper water during summer months and returning to warmer waters during the winter.", ,"Prohibited from recreational and commercial harvest in Florida state waters. Harvest is conditionally allowed through the federal research fisheries commercial harvest program, where NMFS observers are required to be onboard approved commercial vessels. Historically targeted in the longline fishery mainly for their fins, marketable flesh and hide. Due to its size, it is a potentially dangerous species and has been associated with few non-fatal bites on humans.",https://myfwc.com/media/13866/sandbarshark.jpg
86,Scaled Sardine,Harengula jaguana,Native,Also known as pilchard and greenback.,Coastal waters,Popular baitfish that forms schools. Spawns offshore.,Recreational Regulations,https://myfwc.com/media/13871/scaledsardine.jpg
87,Scamp,Mycteroperca phenax,Native,"Similar Species: Yellowmouth grouper, M. interstitalis (inside and corners of mouth are yellow)","Nearshore and offshore reefs, ledges and rocky bottoms",Spawn in late spring. Young undergo a sex transformation from female to male as they becomes older.,"State Record: 28 lb 6 oz, caught near Mayport",https://myfwc.com/media/13873/scamp.jpg
88,Schoolmaster,Lutjanus apodus,Native,"Similar Species: Dog snapper, L. jocu (has pale triangle below eye) and gray snapper, L. griseus (lack yellow fins and lack blue stripe below eyes)","Coastal waters. Adults frequent nearshore, especially around elkhorn coral reefs. Large adults are sometimes found on the continental shelf. Juvenile schoolmaster are found in grassy flats.","Spawn in July and August. Feed on crustaceans, small fishes, and gastropods.",State Record: This species is not currently eligible for a state record.,https://myfwc.com/media/13874/schoolmaster.jpg
89,Sheepshead,Archosargus probatocephalus,Native,Also known as convict fish.,"Coastal waters near structure such as oyster bars, seawalls and in tidal creeks. They move nearshore during late winter and early spring for spawning.","Fractional spawners (they only lay a portion of their eggs at a time) in inshore waters, typically in March and April. They are omnivorous feeding mostly on crustaceans and small fish.","State Record: 15 lb 2 oz, caught near Homosassa",https://myfwc.com/media/13875/sheepshead.jpg
90,Shortfin Mako Shark,Isurus oxyrinchus,Native, ,A cosmopolitan species inhabiting continental nearshore areas and offshore waters of tropical and temperate waters worldwide. A highly migratory species moving seasonally throughout its range., ,"Incredibly hydrodynamic, this species has been clocked at speeds greater than 25 mph with bursts of 40+ mph, which allows them to leap high out of the water.  A valuable commercial species with marketable flesh and fins. It is also considered a recreationally-important game-fish, sought-after for its ability to leap out of the water when hooked.",https://myfwc.com/media/13876/shortfinmako.jpg
91,Silk Snapper,Lutjanus vivanus,Native,"Similar Species: Red snapper, L. campechanus (has a red eye)",Common offshore over rocky ledges in very deep water. Most common in south Florida.,Spawn late spring through summer. Feed on fishes and crustaceans.,State Record: This species is not currently eligible for a state record.,https://myfwc.com/media/13877/silksnapper.jpg
92,Silver Perch,Bairdiella chrysoura,Native,"Similar Species: Sand seatrout, C. arenarius (has canine teeth and lacks chin pores)",Coastal waters; may enter freshwater,"Spawning takes place in shallow, saline portions of bays and other inshore areas, peaking between May and September. Matures by second or third year (by 6 inches). Adults eat crustaceans and small fishes. May live to 6 years.",State Record: This species is not currently eligible for a state record.,https://myfwc.com/media/13878/silverperch.jpg
93,Silver Seatrout,Cynoscion nothus,Native,Also known as white trout.,Most common over sand or sandy mud bottoms offshore along both the Gulf and Atlantic coasts of Florida. Migrate into bays during cold months.,"Spawn offshore in deep water during spring, summer and fall. Feed on small fish and shrimp.",State Record: This species is not currently eligible for a state record.,https://myfwc.com/media/13879/silverseatrout.jpg
94,Skipjack Tuna,Katsuwonus pelamis,Native,Also known as oceanic bonito.,Offshore waters,Feed on fishes and invertebrates,Recreational Regulations,https://myfwc.com/media/13880/skipjacktuna.jpg
95,Smalltooth sawfish,Pristis pectinata,Native,"The smalltooth sawfish is a cartilaginous fish that belongs to the Subclass Elasmobranchii, which also includes all sharks and rays.  This dorsally tannish-brown fish can reach a total length of up to 18 feet (5.5 meters) including the saw (Bigelow and Schroeder 1953).  The species’ common and scientific names are derived from its long, flattened, toothed rostrum (nose or beak structure) that extends outward from its flattened head.  The rostrum resembles a saw because it has 24–32 unpaired saw teeth on each side.  Rostral teeth that are lost will not grow back; however, chipped teeth will continue to grow as long as the base is intact (Slaughter and Springer 1968).  The mouth teeth are small and flat like other rays.  The smalltooth sawfish is considered a type of ray, in part because the gill slits are located on the bottom of the body and the pectoral fins are attached to the head.","Juvenile smalltooth sawfish habitats differ from adult habitats.  Juveniles inhabit coastal areas such as estuaries, river mouths, and bays year-round.  They have been recorded from a variety of habitat types including un-vegetated mud and sand bottoms, especially along red mangrove shorelines.  Also, juveniles use creeks and canals that connect to the main stem of rivers as habitat. (Poulakis et al. 2010, 2011).  Potential habitat includes waters under docks, bridges, and piers.  Juveniles typically inhabit salinities between 18 and 30 parts per thousand (PPT) (the ocean is 35), sometimes miles up rivers (Poulakis et al. 2010, 2011; Simpfendorfer et al. 2011).  Adult smalltooth sawfish are typically found in open water habitats, but have been encountered near coral reefs and occur inshore during the spring when females give birth and mating is thought to occur.  Of seven species of sawfish found worldwide, the only species found in Florida waters is the smalltooth sawfish.  Although the historical range of this species extended from the U.S. down to Brazil, all life stages of smalltooth sawfish are found primarily from Charlotte Harbor, Florida to the Florida Keys (Seitz and Poulakis 2002; Poulakis and Seitz 2004, Mote Marine Laboratory Database).","Little is known about what the smalltooth sawfish feeds on.  Their diet is thought to consist of crabs, shrimp, small fish, and other bottom-dwelling organisms (Bigelow and Schroeder 1953).  The saw is used to slash at prey in the water column and to dislodge prey from bottom-dwelling habitats.", ,https://myfwc.com/media/18518/smalltoothsawfish.jpg
96,Smooth Dogfish,Mustelus canis,Native, ,"Primarily a demersal shark, commonly found in shallow bays, continental shelves, and near offshore banks.  Occasionally found in freshwater; although, it’s unlikely they can survive for extended periods of time in low salinities. Known to migrate seasonally into colder waters during spring and move into warmer waters in the fall.", ,"Since there are multiple species that are similar and difficult to distinguish apart in the fishery, Florida has lumped these into a Mustelus complex. Constitutes only a small portion of the Florida coastal commercial shark fishery, as the bulk of this commercial fishery is landed along the mid-Atlantic coast where it’s targeted for their marketable flesh and hide. This hardy species also does well in captivity and is popular with aquariums. Considered harmless to humans due its small size and its grinding teeth.",https://myfwc.com/media/13881/smoothdogfish.jpg
97,Snook,Centropomus undecimalis,Native,Similar Species: Other snook species,"Inshore in coastal waters, including mangrove shorelines, seagrass beds, beaches and around structure.","Begin life as males, but between 18 and 22 inches long some become females. Form schools during spawning season.","State Record: 45 lbs 12 oz, caught near Sebastian",https://myfwc.com/media/13811/commonsnook.jpg
98,Southern Flounder,Paralichthys lethostigma,Native,"Similar Species: Gulf flounder, P. albigutta (has only three prominent eyelike spots); summer flounder, P. dentatus (have 5 or more ocellated or eyelike spots on the body)","Brackish bays and estuaries, sometimes ranging into tidal creeks and freshwater.",Right eye migrates over to left side early in life.,Recreational Regulations,https://myfwc.com/media/13882/southernflounder.png
99,Southern Kingfish,Menticirrhus americanus,Native,Also known as whiting.,Coastal waters. Common in surf zones along beaches. Also in shallow coastal waters with a muddy-sand bottom as well as high salinity bays and estuaries along the coast.,Thought to prefer high wave action areas such as sand bars where the crashing waves dislodge and suspend small crabs and other small crustaceans. Feeds on fishes and invertebrates.,Fishing Tips and Facts: Longevity is 4 to 6 years.,https://myfwc.com/media/13883/southernkingfish.jpg
100,Spanish Mackerel,Scomberomorous maculatus,Native,"Similar Species: Cero, S. regalis (has yellowish stripe on sides); and king mackerel, S. cavalla (lateral line drops sharply below second dorsal fin)","Prevalent throughout Florida waters: inshore, offshore and nearshore. Frequently found over grass beds and reefs. Absent from north Florida waters in winter.","Schooling fish that migrates northward in spring, returning to southerly waters when water temperature drops below 70 degrees F.  Spawn offshore from spring through summer.","State Record: 12 lb, caught near Ft. Pierce",https://myfwc.com/media/13885/spanishmackerel.jpg
101,Spanish Sardine,Sardinella aurita,Native,"Similar Species: Scaled sardine, H. jaguana",Coastal waters,An abundant fish that forms schools.,Recreational Regulations,https://myfwc.com/media/13886/spanishsardine.jpg
102,Spiny Dogfish,Squalus acanthias,Native, ,"A highly migratory species, they are known to travel to Greenland waters during summer months and spend the fall/winter in sub-tropical areas near Georgia.  Although rarely found in Florida waters, they could be found offshore or in coastal areas, usually near the bottom, but known to congregate in large schools and can tolerate brackish water.", ,"Prohibited from commercial or recreational harvest in Florida. Commercially targeted for meat and liver oil in U.S. North Atlantic waters. This species poses little threat to humans; however, caution should be used while handling due to their sharp dorsal spines.",https://myfwc.com/media/13888/spinydogfish.jpg
103,Spot,Leiostomus xanthurus,Native,"Similar Species: Atlantic croaker, M. undulatus (has strongly serrated preopercle)",Coastal waters,Feeds on invertebrates and decaying material.,Recreational Regulations,https://myfwc.com/media/13889/spot.jpg
104,Spottail Pinfish,Diplodus holbrookii,Native,"Similar Species: Pinfish, L. rhomboides (lacks large black spot on caudal peduncle)",Coastal waters with vegetated bottoms.,Feed mainly on invertebrates.,Recreational Regulations,https://myfwc.com/media/13890/spottailpinfish.jpg
105,Spotted Seatrout,Cynoscion nebulosus,Native,Also known as speckled trout.,Coastal waters over sand bottoms or seagrass beds,"Spawning occurs inshore from March through November. Move into deeper, still waters during colder months.  Feed on baitfish, mullet, shrimp and crabs.","State Record: 17 lb 7 oz, caught near Ft. Pierce",https://myfwc.com/media/13891/spottedseatrout.jpg
106,Striped Anchovy,Anchoa hepsetus,Native,"Similar Species: Bay anchovy, A. mitchilli (anal fin begins below beginning of dorsal fin)",Shallow bays and estuaries,Form dense schools and tolerate a wide range of salinities.,Recreational Regulations,https://myfwc.com/media/13892/stripedanchovy.jpg
107,Striped Mojarra,Eugerres plumieri,Native,"Similar Species: Bay anchovy, A. mitchilli (anal fin begins below beginning of dorsal fin)",Shallow bays and estuaries,Form dense schools and tolerate a wide range of salinities.,Recreational Regulations,https://myfwc.com/media/13893/stripedmojarra.jpg
108,Striped Mullet,Mugil cephalus,Native,"Similar Species: Fantail mullet, M. gyrans; and white mullet, M. curema (both have a black blotch at base of pectoral fin and lack dark stripes)",Coastal waters,"Adult striped mullet migrate offshore in large schools to spawn.  Juveniles migrate inshore at about 1 inch in size, moving far up tidal creeks. Frequent leapers and feed on algae, decaying matter and other tiny marine life.",State Record: This species is not currently eligible for a state record.,https://myfwc.com/media/13894/stripedmullet.jpg
109,Summer Flounder,Paralichthys dentatus,Native,"Similar Species: Gulf flounder, P. albigutta (has only three prominent eyelike spots); southern flounder, P. lethostigma (may have 5 or more spots but they are not eyelike)","Inshore and offshore waters on or close to the ocean floor buried in sandy substrate. Found in waters of the Atlantic Ocean from Nova Scotia to the east coast of Florida, but not in the Gulf of Mexico.",Right eye migrates over to left side early in life.,Average lifespan about 12 to 14 years.,https://myfwc.com/media/24155/summerflounder.jpg
110,Swordfish,Xiphias gladius,Native,Size:Up to 15 feet (1400 pounds),"Deep sea fish found from the surface down below 2,000 feet.","Swordfish over 200 pounds are generally females and tend to migrate to the surface at night, when most drift fishing occurs. Feed primarily on fishes, but may also consume invertebrates.","State Record: 612 lb 12 oz, caught near Key Largo",https://myfwc.com/media/13895/swordfish.jpg
111,Swordspine Snook,Centropomus ensiferus,Native,Similar Species: Other snook species,Occurs in inshore estuarine habitats.,Mangrove shorelines serve as nursery areas for young.,State Record: This species is not currently eligible for a state record.,https://myfwc.com/media/13896/swordspinesnook.jpg
112,Tarpon,Megalops atlanticus,Native,"Similar Species: As juveniles, tarpon resemble ladyfish, E. saurus",Primarily inshore fish; adults spawn offshore.,"Slow-growing, matures at 7 to 13 years of age. Spawn between May and September. Females may lay more than 12 million eggs. Develop into a ribbon-like larval stage.",Recreational Regulations,https://myfwc.com/media/13397/tarpon.jpg
113,Tarpon Snook,Centropomus pectinatus,Native,Similar Species: Other snook species,Inshore in coastal waters; frequently found in freshwater.,Feed on small fish and large crustaceans. Mangrove shorelines serve as nursery areas for young. Rare on Florida’s west coast.,State Record: This species is not currently eligible for a state record.,https://myfwc.com/media/13898/tarponsnook.jpg
114,Thresher Shark,Alopias vulpinus,Native, ,"Adults are observed offshore and in oceanic waters, sometimes wandering close to coastal areas in search of food.  Juveniles inhabit coastal bays and nearshore areas.", ,"Considered harmless to humans, this is a shy species and difficult to approach. Valuable commercial species with marketable flesh, hide, fins, and liver. A popular game fish species, often hooked on the upper lobe of their tail as they try to stun the live bait with their tail.",https://myfwc.com/media/13899/threshershark.jpg
115,Tiger Shark,Galeocerdo cuvier,Native, ,"Common throughout Florida and occurs worldwide in tropical and warm-temperate waters. Found in a variety of habitats including river mouths, shallow bays, and open ocean.", ,"Prohibited from commercial or recreational harvest in Florida state waters. Valuable commercial species in U.S. federal waters, with marketable flesh, hide, fins, and liver. Tiger sharks are second only to the great white shark in the number of bites on humans worldwide.",https://myfwc.com/media/13900/tigershark.jpg
116,Tomtate,Haemulon aurolineatum,Native,Also known as brown grunt.,Coastal waters,"Feed on invertebrates, plankton and algae.",Easily caught on small hooks baited with squid or cut bait.,https://myfwc.com/media/13901/tomtate.jpg
117,Vermilion Snapper,Rhomboplites aurorubens,Native,Also known as mingo or beeliner.,Offshore over structure.,Spawns April to September. Females mature at 3 to 4 years of age. Grows slowly.,State Record: 6.19 lbs. Gulf of Mexico in 2017,https://myfwc.com/media/13903/vermilionsnapper.jpg
118,Wahoo,Acanthocybium solanderi,Native,"Similar Species: King mackerel, S. cavalla (lateral line drops sharply)",Offshore waters; generally not in schools.,Known for their tremendous runs and shifts of direction. Feeds on fishes and squid.,"State Record: 139 lb, caught near Marathon",https://myfwc.com/media/13904/wahoo.jpg
119,Warsaw Grouper,Epinephelus nigritus,Native,"Similar Species: Goliath grouper, E. itajara (dorsal spines all at same height)",Rocky bottoms in water over 200 feet deep. Juveniles found inshore.,Feeds on fishes and crustaceans.,"State Record: 436 lb 12 oz, caught near Destin",https://myfwc.com/media/13905/warsawgrouper.jpg
120,Weakfish,Cynoscion regalis,Native,"Similar Species: Spotted seatrout, C. nebulosus (has prominent spots); silver seatrout, C. nothus (bottom half of tail is longer than upper half); and sand seatrout, C. arenarius (lacks dark spots)",Coastal to offshore waters of the Atlantic (typically not in the Gulf of Mexico); juveniles found in estuaries,May mature as early as age 1; spawns in nearshore or estuarine areas between April and October; schooling fish; feeds primarily on shrimp and fish.,"State Record: 10 lb, caught near Port Canaveral",https://myfwc.com/media/13906/weakfish.jpg
121,White Grunt,Haemulon plumieri,Native,Also known as a Key West grunt,Coastal to offshore waters; juveniles found inshore.,Make a grunting noise by grinding pharyngeal teeth together.,"State Record: 15 lb 8 oz, caught near Key West",https://myfwc.com/media/13907/whitegrunt.jpg
122,White Marlin,Tetrapterus albidus,Native,"Similar Species: Blue marlin, M. nigricans (dorsal fin pointed and lacks spots; tips of pectoral and anal fins pointed); and longbill spearfish, T. pfluegeri (dorsal fin raised in front, then dips slightly, but remains somewhat high)",Offshore waters,"Uses its bill to stun fast-moving fishes, then turns to consume them; spawning procedures unknown; ranges throughout the Atlantic and Caribbean; feeds on squid and pelagic fishes","State Record: 161 lb, caught near Miami Beach",https://myfwc.com/media/13908/whitemarlin.jpg
123,Yellowfin Grouper,Mycteroperca venenosa,Native,"Similar Species: Black grouper, M. bonaci (lacks bright yellow on outer third of pectoral fins)","Coastal to offshore waters, typically near reefs. Juveniles found in seagrass beds.","Undergoes sex reversal from female to male in latter part of life. Scientific name translates to ""venomous,"" alluding to the fact that this fish, perhaps more frequently than other groupers, is associated with ciguatera poisoning.","State Record: 34 lb 6 oz, caught near Key Largo",https://myfwc.com/media/13909/yellowfingrouper.jpg
124,Yellowfin Menhaden,Brevoortia smithi,Native,"Similar Species: Gulf menhaden, B. patronus (have small spots trailing the prominent dark spot)",Found nearshore and in bays and estuaries.,Feeds by filtering phytoplankton.,Recreational Regulations,https://myfwc.com/media/13910/yellowfinmenhaden.jpg
125,Yellowfin Tuna,Thunnus albacares,Native,"Similar Species: Blackfin tuna, T. atlanticus (lacks elongated second dorsal and anal fins)",Offshore waters,Spawning peaks in the summer; feed on fishes and invertebrates.,Recreational Regulations,https://myfwc.com/media/13911/yellowfintuna.jpg
126,Yellowmouth Grouper,Mycteroperca interstitialis,Native,"Similar Species: Scamp, M. phenax (elongated caudal fin rays; lacks yellow on inside and corners of mouth)",Coastal and offshore waters near structure. Not as common as scamp in the Gulf. Range limited to southern Florida.,"Undergoes sex reversal, young individuals female, older individuals becoming male.",State Record:External Website This species is not currently eligible for a state record.,https://myfwc.com/media/13912/yellowmouthgrouper.jpg
127,Yellowtail Snapper,Ocyurus chrysurus,Native,Similar Species: Other snappers,"Coastal waters, mainly near coral reefs.",Found mainly in tropical waters. Spawn in mid-summer.,"State Record: 8 lb 9 oz, caught near Ft. Myers",https://myfwc.com/media/13913/yellowtailsnapper.jpg
128,American Eel,Anguilla rostrata,Native,"The American Eel is also known as the pencil eel, yellow eel, black eel, silver eel, Boston eel, Atlantic eel or common eel. The body is extremely elongated (snakelike), with a very long dorsal fin that is confluent with the anal fin.  Pelvic fins are absent and tiny scales are embedded in the skin giving eels a smooth feel.  The adult color is a yellow-brown with pale underbelly. It is a distinct species with no known subspecies.  Similar species exist around Japan, Australia and Europe. This is a gourmet fish in the Asian markets and is often used in Sushi.  It tends to be bony by American standards but is good smoked.",American eels are found in waters with coastal access along the Atlantic seaboard of the US. Eels are primarily riverine but access ponds and lakes.  They orient to structure and flow.,"Spawning is still not well understood but fascinating.  The adults migrate to the ocean during autumn.  During the long trek the fish metamorphose into a ""silver eel"" stage and stop eating.  The fish head to a location near the Sargasso Sea where they spawn en masse and apparently die.  The eggs hatch into leaf-shaped floating leptocephalus larvae that drift with the currents.  When they come within range of a freshwater river, the leptocephalus metamorphoses again into a tiny semi-transparent ""glass eel"".  The glass eel then changes again into a pigmented pencil eel and continues its migration upstream to find a habitat to mature and await it's time to go spawn.  This process of spawning in the ocean and maturing inland is termed catadromy (the fish are catadromous). American eels are opportunistic feeders, which means they eat whatever food is available to them. They are considered carnivorous and eat a variety of food, including fish, frogs, insects and dead organisms. American eels are known to live as long as 43 years, but generally migrate to spawn and die long before then.",State Record:  Approximately 60-inch long male weighing about 16 pounds.,https://myfwc.com/media/16179/americaneel.png
129,American Shad,Alosa sapidissima,Native,Green or greenish blue with metallic luster on back and silvery sides. The chest and abdomen have bony scutes. They typically have several spots along their side.,"In Florida, it occurs only in the northeast, mostly in the St. Johns River and Nassau River when it returns from the ocean to spawn, typically between late December and early April.","Plankton feeders, but strike small bright spoons and flies. They are anadromous, meaning they mature in salt water, but return to fresh water rivers to spawn.",State Record:  5.19 lbs. Big Catch minimum: 18 inches or 3 lbs.,https://myfwc.com/media/13781/americanshad.jpg
130,Arapaima,Arapaima gigas,Nonnative, , , , ,https://myfwc.com/media/27546/arapaima.jpg
131,Black Acara, ,Invasive,"Small, stout, convex-headed, bream-looking body-shape with two black blotches on side, the larger blotch at mid-body and a smaller one near base of tail; color variable with gray-blue-silver-brown base, sometimes with light blue-green sheen.","Most common in shallow, stagnant, roadside ditches or similarly disturbed habitats that normally contain few other fishes; infrequent in larger canals and lakes; early success of this fish in Florida led to an erroneous conclusion that it would have significant negative effects on native fishes.","Spawning Habitats: Both parents guard the young; nearly all sexually mature by four inches; spawns throughout the year laying an average of about 1,000 eggs.",,https://myfwc.com/media/13915/blackacara.png
132,Black Crappie,Pomoxis nigromaculatus,Native,A deep body with nearly symmetrical dorsal and anal fins and a speckled pattern on the body and fins identify the black crappie.,"Unlike most other panfish, crappie spend much of their time offshore feeding on small fish in lakes or in large slow-moving clear water rivers.","They nest in colonies from February to April. Nests are fanned by males over gravel or muddy bottoms in depths of 3-8 feet, with big fish deeper. Primary food items are crustaceans, aquatic insects and small fishes.",State Record:  3.83 lbs. Big Catch minimum: 14 inches or 2.0 lbs.,https://myfwc.com/media/16182/blackcrappie.jpg
133,Blackmouth shiner,Notropis melanostomus,Native,"The blackmouth shiner is a smaller member of the Notropis genus that can reach a body length of only 1.5 inches (3.8 centimeters).  This species is gray with large black eyes, a black abdominal area, and a black stripe that runs along the midsection of its sides (Florida Natural Areas Inventory 2001).","The blackmouth shiner inhabits the backwaters of rivers and streams off the main channel (Florida Natural Areas Inventory 2001; Bortone 1993).  This species may be found in the Yellow, Shoal, and Blackwater River, and Pond Creek in Florida; Bay Minnette Creek in Alabama; and the Pascagoula, Lower Black Creek, and Chickasawhay River  in Mississippi. (Bass et al., 2004; Bortone 1993; O’Connell et al., 1998; O’Connell et al., 2005; Suttkus and Bailey, 1990).  Blackmouth shiners have been collected along shoreline areas associated with pond cypress, Atlantic white cedar, sweet gum and various pine species (Bortone 1993).","The diet of the blackmouth shiner primarily consists of a variety of algae, phytoplankton, zooplankton, rotifers, and small crustaceans (Bortone, 1993).", ,https://myfwc.com/media/14387/blackmouthshiner.jpg
134,Blue Catfish,Ictalurus furcatus,Nonnative,"Adults have stout bodies with prominently humped backs in front of the dorsal fin. They resemble channel catfish by having deeply forked tails, but are lack the spots and have a longer, straight-edged anal. The back and upper sides are blue to slate gray, and the belly is white.","Originally found in the Escambia and Yellow rivers in northwest Florida, they are now also in the Apalachicola and Suwannee. Blues occur in big rivers and in the lower reaches of major tributaries. They prefer clearer, swifter water than other catfish, and are usually found over sand, gravel or rock bottoms.","Young blues eat aquatic insects and small fish while larger blues prefer crayfish, mussels and other fish.",State Record:  69.5 pounds.,https://myfwc.com/media/16183/bluecatfish.jpg
